Basin,Category Group,Threshold,Mean,Std Dev,Median,Min,Max,Burst Count,Timebin Count,Burst Percentage,Basin-Category Effective Threshold (Mean-Based) 2 SD,Basin-Category Effective Threshold (Median-Based) 2 SD,Basin-Category Effective Threshold Bursts (Mean-Based) 2 SD,Basin-Category Effective Threshold Burst Percentage (Mean-Based) 2 SD,Basin-Category Effective Threshold Bursts (Median-Based) 2 SD,Basin-Category Effective Threshold Burst Percentage (Median-Based) 2 SD,Basin-Category Effective Threshold (Mean-Based) 1.5 SD,Basin-Category Effective Threshold (Median-Based) 1.5 SD,Basin-Category Effective Threshold Bursts (Mean-Based) 1.5 SD,Basin-Category Effective Threshold Burst Percentage (Mean-Based) 1.5 SD,Basin-Category Effective Threshold Bursts (Median-Based) 1.5 SD,Basin-Category Effective Threshold Burst Percentage (Median-Based) 1.5 SD
EPAC,0-2,mad1,6.527583785520431,2.1731214591740753,6.66821819325957,0.6931471805599453,10.96240852709412,82,3850,2.13,8.003308645241486,7.827488492547266,0,0.0,0,0.0,7.141943180773139,6.96612302807892,3,0.08,8,0.21
EPAC,0-2,mad2,7.576961250019741,2.5441473781374597,7.612679802100421,0.6931471805599453,12.785568446941689,52,3850,1.35,6.682197013887896,5.900784889870138,23,0.6,113,2.94,5.9884852487225935,5.207073124704836,103,2.68,281,7.3
EPAC,0-2,iqr1,5.592080858060752,1.6020295159528226,5.703782474656201,0.6931471805599453,9.045239974541722,119,3850,3.09,5.631461601580598,5.689921753335023,170,4.42,157,4.08,5.134306656774966,5.192766808529391,306,7.95,287,7.45
EPAC,0-2,iqr2,6.6600953863044525,1.9296946532665442,6.7759834576414715,0.6931471805599453,10.829706848402527,40,3850,1.04,5.770031719933113,6.255732849823328,140,3.64,72,1.87,5.319433675602438,5.805134805492654,247,6.42,134,3.48
EPAC,0-2,logn1,5.233588509630799,1.2701832261377564,5.285497267128827,0.6931471805599453,7.998327016305833,141,3850,3.66,6.732012801514254,6.643752808800905,18,0.47,27,0.7,6.211264306540282,6.123004313826932,77,2.0,88,2.29
EPAC,0-2,logn2,6.606665636812507,1.5989392475328144,6.761672300318272,0.6931471805599453,9.996606439374252,6,3850,0.16,6.8099726874282345,7.171973051111962,16,0.42,3,0.08,6.359124103408161,6.721124467091888,56,1.45,20,0.52
EPAC,1-2,mad1,6.119381162697972,2.1658508506282264,6.063117046700158,0.6931471805599453,10.96240852709412,34,1561,2.18,7.257060449679372,6.746843773788539,1,0.06,2,0.13,6.483534608106753,5.97331793221592,3,0.19,12,0.77
EPAC,1-2,mad2,7.104991492012772,2.5438131971933924,7.004326676694907,0.6931471805599453,12.785568446941689,25,1561,1.6,4.470806976065668,4.217383720144272,107,6.85,146,9.35,4.197945503331832,3.9445222474104367,146,9.35,186,11.92
EPAC,1-2,iqr1,5.246400163692616,1.5884513210250089,5.17237614319019,0.6931471805599453,9.045239974541722,42,1561,2.69,4.977880719221089,5.045185635670856,63,4.04,61,3.91,4.619825484645926,4.687130401095693,96,6.15,90,5.77
EPAC,1-2,iqr2,6.251145367490754,1.922061776711111,6.19081710682071,0.6931471805599453,10.829706848402527,15,1561,0.96,5.490936172267633,5.889181441622089,30,1.92,14,0.9,5.131975979987268,5.530221249341724,57,3.65,28,1.79
EPAC,1-2,logn1,4.931580514273895,1.2558434116489434,4.967779914496241,0.6931471805599453,7.998327016305833,51,1561,3.27,6.4395004109401395,6.4748241138106435,3,0.19,3,0.19,5.960984089713733,5.996307792584236,12,0.77,12,0.77
EPAC,1-2,logn2,6.227157164169446,1.591641472232569,6.221870935511944,0.6931471805599453,9.996606439374252,2,1561,0.13,7.337199950473423,7.337199950473423,1,0.06,1,0.06,6.815025997951485,6.815025997951485,2,0.13,2,0.13
EPAC,3-5,mad1,5.719598124472628,1.6353175826092712,5.792262358221201,0.6931471805599453,10.223270901139617,11,1398,0.79,6.65142281212188,5.928513637911492,0,0.0,2,0.14,6.159440545654651,5.436531371444263,1,0.07,11,0.79
EPAC,3-5,mad2,6.603651788534759,1.9075586687646036,6.677851738985218,0.6931471805599453,11.946037498880722,1,1398,0.07,,,0,0.0,0,0.0,,,0,0.0,0,0.0
EPAC,3-5,iqr1,4.990126894517377,1.2455358951665219,5.17237614319019,0.6931471805599453,8.230523939222149,13,1398,0.93,5.043004157406177,4.918208046125518,25,1.79,31,2.22,4.694609001031777,4.569812889751119,41,2.93,52,3.72
EPAC,3-5,iqr2,5.898324972192574,1.4807188728482257,6.19081710682071,0.6931471805599453,9.885795445919161,0,1398,0.0,,,0,0.0,0,0.0,,,0,0.0,0,0.0
EPAC,3-5,logn1,4.755954944419363,0.9859979668758232,5.033171437943711,0.6931471805599453,6.9992975126098695,16,1398,1.14,6.2452309384353875,6.657685891025506,0,0.0,0,0.0,5.784946831861058,6.197401784451175,4,0.29,1,0.07
EPAC,3-5,logn2,5.9635145782920596,1.226996998017144,6.285002923011245,0.6931471805599453,8.822180663929192,0,1398,0.0,,,0,0.0,0,0.0,,,0,0.0,0,0.0
